地區,日期,排名,股票代碼,股票名稱,買入金額(RMB),賣出金額(RMB),買入及賣出金額(RMB)
滬股通,2018-01-02,1,601318,中國平安　　　　,"408,816,204","123,363,268","532,179,472"
滬股通,2018-01-02,2,600519,貴州茅台　　　　,"279,013,005","188,648,335","467,661,340"
滬股通,2018-01-02,3,600036,招商銀行　　　　,"145,645,782","62,683,876","208,329,658"
滬股通,2018-01-02,4,601939,建設銀行　　　　,"155,508,496","49,776,689","205,285,185"
滬股通,2018-01-02,5,600887,伊利股份　　　　,"119,770,107","75,461,336","195,231,443"
滬股通,2018-01-02,6,600048,保利地產　　　　,"107,432,244","82,445,501","189,877,745"
滬股通,2018-01-02,7,601398,工商銀行　　　　,"114,952,634","64,681,733","179,634,367"
滬股通,2018-01-02,8,600019,寶鋼股份　　　　,"98,843,724","79,473,418","178,317,142"
滬股通,2018-01-02,9,600585,海螺水泥　　　　,"58,498,002","113,764,074","172,262,076"
滬股通,2018-01-02,10,601766,中國中車　　　　,"101,420,603","70,161,758","171,582,361"
港股通（滬),2018-01-02,1,00700,騰訊控股　　　　,"587,067,100","247,636,260","834,703,360"
港股通（滬),2018-01-02,2,00981,中芯國際　　　　,"228,253,620","546,273,660","774,527,280"
港股通（滬),2018-01-02,3,01918,融創中國　　　　,"377,265,400","377,297,150","754,562,550"
港股通（滬),2018-01-02,4,01336,新華保險　　　　,"265,976,080","374,873,060","640,849,140"
港股通（滬),2018-01-02,5,00939,建設銀行　　　　,"405,358,960","31,818,370","437,177,330"
港股通（滬),2018-01-02,6,01398,工商銀行　　　　,"213,643,650","136,595,610","350,239,260"
港股通（滬),2018-01-02,7,02007,碧桂園　　　　　,"162,539,860","161,035,400","323,575,260"
港股通（滬),2018-01-02,8,01766,中國中車　　　　,"229,803,150","82,032,296","311,835,446"
港股通（滬),2018-01-02,9,00388,香港交易所　　　,"171,231,940","133,710,660","304,942,600"
港股通（滬),2018-01-02,10,02333,長城汽車　　　　,"211,906,255","74,932,750","286,839,005"
深股通,2018-01-02,1,333,美的集團　　　　,"319,420,878","76,553,571","395,974,449"
深股通,2018-01-02,2,2050,三花智控　　　　,"346,090,059","20,924,652","367,014,711"
深股通,2018-01-02,3,858,五糧液　　　　　,"173,721,350","95,999,579","269,720,929"
深股通,2018-01-02,4,1,平安銀行　　　　,"128,965,412","131,569,798","260,535,210"
深股通,2018-01-02,5,651,格力電器　　　　,"174,266,852","70,186,172","244,453,024"
深股通,2018-01-02,6,725,京東方Ａ　　　　,"117,015,454","108,046,778","225,062,232"
深股通,2018-01-02,7,568,瀘州老窖　　　　,"190,403,274","18,309,049","208,712,323"
深股通,2018-01-02,8,2,萬科Ａ　　　　　,"133,429,121","71,733,567","205,162,688"
深股通,2018-01-02,9,2415,海康威視　　　　,"111,107,502","51,492,090","162,599,592"
深股通,2018-01-02,10,2027,分眾傳媒　　　　,"74,248,718","48,732,329","122,981,047"
港股通（深),2018-01-02,1,00700,騰訊控股　　　　,"421,989,000","176,665,840","598,654,840"
港股通（深),2018-01-02,2,01918,融創中國　　　　,"107,694,800","122,690,400","230,385,200"
港股通（深),2018-01-02,3,01548,金斯瑞生物科技　,"126,234,000","74,225,300","200,459,300"
港股通（深),2018-01-02,4,00981,中芯國際　　　　,"99,123,090","91,278,040","190,401,130"
港股通（深),2018-01-02,5,02202,萬科企業　　　　,"47,028,225","114,859,180","161,887,405"
港股通（深),2018-01-02,6,00763,中興通訊　　　　,"68,881,200","75,984,220","144,865,420"
港股通（深),2018-01-02,7,01030,新城發展控股　　,"62,828,440","77,597,500","140,425,940"
港股通（深),2018-01-02,8,02208,金風科技　　　　,"63,652,236","61,529,240","125,181,476"
港股通（深),2018-01-02,9,03883,中國奧園　　　　,"92,191,400","26,781,430","118,972,830"
港股通（深),2018-01-02,10,03900,綠城中國　　　　,"60,262,530","57,172,260","117,434,790"
滬股通,2018-01-03,1,601318,中國平安　　　　,"800,736,104","110,967,121","911,703,225"
滬股通,2018-01-03,2,600519,貴州茅台　　　　,"439,612,687","240,507,216","680,119,903"
滬股通,2018-01-03,3,600276,恒瑞醫藥　　　　,"152,176,261","235,776,088","387,952,349"
滬股通,2018-01-03,4,600887,伊利股份　　　　,"167,156,146","105,255,686","272,411,832"
